name	description	price	image_src
Биг Тейсти	Сандвич с большим, рубленым бифштексом из 100% говядины на булочке с кунжутом. Особенный вкус сандвичу придают три кусочка сыра Эмменталь, два ломтика помидора, салат, лук и пикантный соус Гриль	249	https://eda.yandex/images/3725642/c9c37f367d5228b1c432817e2ec713d0-450x300.png
Двойной Роял	Два сочных бифштекса из натуральной говядины, приготовленных на гриле, карамелизованная булочка с кунжутом, два ломтика сыра Чеддер, лук, маринованные огурчики, кетчуп и горчица	225	https://eda.yandex/images/3512826/d3457e1417acd6bd9389269b3c8972d0-450x300.png
Двойной Биг Мак	Большой бургер с четырьмя рублеными бифштексами из натуральной цельной говядины на булочке Биг Мак, заправленной луком, маринованными огурчиками, сыром Чеддер, салатом и специальным соусом Биг Мак	199	https://eda.yandex/images/3709189/1aec1e0c3f4bf1bf50f9d7788c621629-450x300.jpeg
Биг Тейсти Джуниор	Тот самый Бургер с рубленым бифштексом из 100% говядины на булочке с кунжутом, два кусочка сыра Эмменталь, свежий салат, лук, ломтик помидора и особенный соус Гриль с дымком	200	https://eda.yandex/images/1380157/6b4b892e3fc1bf3e0bb2a06fce4104fb-450x300.jpeg
Тройной Чизбургер	Три рубленных бифштекса из натуральной говядины на карамелизованной булочке, с тремя ломтиками сыра Чеддер, кетчупом, горчицей, луком и маринованными огурчиками	169	https://eda.yandex/images/3518584/17ea775bb093f49b65e3e58636791735-450x300.jpeg
Двойной Филе-О-Фиш	Два кусочка филе рыбы (семейство тресковых), которые подаются на пышной пропаренной булочке с кусочком сыра Чеддер. Сандвич заправлен соусом Тар-Тар	184	https://eda.yandex/images/3724421/b63b3b833e143ddb48f2e34cf278e00a-450x300.jpeg
Роял Де Люкс	Сочный, большой бифштекс из 100% говядины, булочка с кунжутом, сыр Чеддер, хрустящий салат маринованные огурцы, помидор, свежий лук, соус Макчикен, кетчуп, горчица	169	https://eda.yandex/images/3806023/e6dea0c5123590a8cb9fa2e6b431bd4d-450x300.png
Биг Мак Бекон	Новое непревзойденное сочетание классического вкуса Биг Мака и бекона	169	https://eda.yandex/images/3531870/a56c80f14f6891136e1dea0bdde23451-450x300.png
Филе-О-Фиш	Филе хорошо прожаренной рыбы (семейства тресковых), которое подается на пропаренной булочке с половинкой кусочка сыра Чеддер, заправленной специальным соусом Тар-Тар	159	https://eda.yandex/images/3798638/a4e604e6c0c03e16f874eba02867c2b2-450x300.jpeg
Роял	Сочный бифштекс из натуральной говядины, приготовленный на гриле, карамелизованная булочка с кунжутом, два ломтика сыра Чеддер, кетчуп, горчица, свежий лук и маринованные огурчики	149	https://eda.yandex/images/3378693/8471170502d8107abe85a830b5d67c5b-450x300.png
Макчикен Премьер	Сочная куриная котлета в хрустящей панировке, сыр Чеддер, ароматный бекон, ломтик помидора, свежий салат, специальный соус и, конечно, та самая булочка с кунжутом	152	https://eda.yandex/images/2806911/5910ae72ad72c83464dac68ca4ac66ee-450x300.jpeg
Биг Мак	Два бифштекса из 100% говядины на специальной булочке Биг Мак, заправленной луком, двумя кусочками маринованных огурчиков, ломтиком сыра Чеддер, салатом, и специальным соусом Биг Мак	139	https://eda.yandex/images/3377781/9fb800c29701b08bb242255955babb6a-450x300.jpeg
Двойной Чизбургер	Два рубленых бифштекса из натуральной цельной говядины с двумя кусочками сыра Чеддер на карамелизованной булочке, заправленной горчицей, кетчупом, луком и двумя кусочками маринованного огурчика	133	https://eda.yandex/images/2415806/091b592ae40398c1aa6eb03b34841c18-450x300.jpeg
Макчикен	Карамелизированная булочка с семенами кунжута, обжаренная куриная котлета из сочного куриного мяса, специальный соус Макчикен и салат Айсберг	100	https://eda.yandex/images/3807432/5674175bf7d7738c364107f23878e07d-450x300.jpeg
Чикенбургер	Обжаренная куриная котлета из сочного куриного мяса, панированная в сухарях, которая подается на карамелизованной булочке, заправленной свежим салатом и специальным соусом Макчикен	50	https://eda.yandex/images/3559865/6ce9a20e22bc84e47c7194be8df93920-450x300.jpeg
Чизбургер	Рубленый бифштекс из натуральной цельной говядины с кусочками сыра Чеддер на карамелизованной булочке, заправленной горчицей, кетчупом, луком и кусочком маринованного огурчика	54	https://eda.yandex/images/3191933/a3adc08442656b0dbcb7df0c76a775d6-450x300.jpeg
Гамбургер	Рубленый бифштекс из натуральной цельной говядины на карамелизованной булочке, заправленной горчицей, кетчупом, луком и кусочком маринованного огурчика	48	https://eda.yandex/images/3735503/c2c1eaf6cae75c1be5e8110170a2e89b-450x300.jpeg
Биг Тейсти Острый	Бургер с большим, рубленым бифштексом из 100% говядины на булочке с кунжутом. Особенный вкус бургеру придают острый соус Чураско и соус Гриль с дымком, три кусочка сыра Эмменталь и свежие овощи	259	https://eda.yandex/images/1380298/14bf5ed9c948bdf4f66693bde4cbdbbb-450x300.jpeg
Биг Тейсти Бекон	Биг Тейсти с бифштексом из 100% рубленой говядины, сыром Эмменталь, знаменитым соусом с дымком и беконом	279	https://eda.yandex/images/3583862/21d0160cb3712fb36e8d24f114d758f5-450x300.jpeg
Цезарь Ролл	100% белое куриное мясо в хрустящей панировке, ломтик помидора, листья салата и ломтики твёрдого сыра, заправленные специальным соусом и завёрнутые в пшеничную лепешку	163	https://eda.yandex/images/3534679/d046566e9d6389c2f99ba6f16a7b6c7a-450x300.jpeg
Биг Тейсти Ролл	Два сочных бифштекса из 100% говядины, свежие овощи, сыр, специальный соус Гриль с дымком и все это в пшеничной лепешке	179	https://eda.yandex/images/1380298/1e1c6a0c6e3eed12ba42166baef21c0b-450x300.jpeg
Шримп Ролл	Нежные креветки в хрустящей панировке, свежий салат Айсберг и лук в пресной пшеничной лепешке, заправленной специальным соусом	224	https://eda.yandex/images/1387779/f2d512e2ecedf684fbae27a985f7ac0e-450x300.jpeg
Большие Креветки (18 шт.)	Королевские креветки в хрустящей панировке. Еще аппетитнее с соусом 1000 островов. Легко. Изыскано. Вкусно	629	https://eda.yandex/images/3191933/0b64793eb59f9a56621579914ec8f219-450x300.jpeg
Большие Креветки (9 шт.)	Королевские креветки в хрустящей панировке. Еще аппетитнее с соусом 1000 островов. Легко. Изыскано. Вкусно	325	https://eda.yandex/images/1370147/74c9c8f6cd1c7c6b3bdf238f7dfcbb16-450x300.jpeg
Большие Креветки (6 шт.)	Королевские креветки в хрустящей панировке. Еще аппетитнее с соусом 1000 островов. Легко. Изыскано. Вкусно	229	https://eda.yandex/images/1380157/34aa56ddc18e2f74ac0fa2fb91361640-450x300.jpeg
Куриные Крылышки (7 шт.)	Аппетитные куриные крылышки в пикантной, хрустящей панировке. Еще вкуснее с соусом Барбекю!	249	https://eda.yandex/images/3816972/7e974af57da07722e788ee6771aee9ef-450x300.jpeg
Куриные Крылышки (5 шт.)	Аппетитные куриные крылышки в пикантной, хрустящей панировке. Еще вкуснее с соусом Барбекю!	185	https://eda.yandex/images/3808326/48d14cce9289ecc03d0541a80d3127f4-450x300.jpeg
Куриные Крылышки (3 шт.)	Аппетитные куриные крылышки в пикантной, хрустящей панировке. Еще вкуснее с соусом Барбекю!	124	https://eda.yandex/images/3770794/d02961475750c02884da962dffdef5bb-450x300.jpeg
Стрипсы (7 шт.)	Сочная, нежная курица в хрустящей панировке. Попробуйте новые стрипсы от Макдоналдс из 100% белого мяса!	189	https://eda.yandex/images/3435765/76ad1ee8193eabd02b604090704d6ab4-450x300.png
Стрипсы (5 шт.)	Сочная, нежная курица в хрустящей панировке. Попробуйте новые стрипсы от Макдоналдс из 100% белого мяса!	139	https://eda.yandex/images/3512826/5d1096c64144ef1226d1be66ddd2db30-450x300.jpeg
Стрипcы (3 шт.)	Сочная, нежная курица в хрустящей панировке. Попробуйте новые стрипсы от Макдоналдс из 100% белого мяса!	85	https://eda.yandex/images/3191933/87ff36556eccf7841449588b1acc41af-450x300.jpeg
Чикен Макнаггетс (18 шт.)	Неподражаемые Чикен Макнаггетс – это сочное 100% белое куриное мясо в хрустящей панировке со специями. Только натуральная курочка без искусственных красителей и ароматизаторов и без консервантов	195	https://eda.yandex/images/3472725/4afb840c0b281385919f3c22c4d436b9-450x300.jpeg
Чикен Макнаггетс (9 шт.)	Неподражаемые Чикен Макнаггетс – это сочное 100% белое куриное мясо в хрустящей панировке со специями. Только натуральная курочка без искусственных красителей и ароматизаторов и без консервантов	99	https://eda.yandex/images/1387779/ca50e56a911e9c77b0b33223f2a64a77-450x300.jpeg
Чикен Макнаггетс (6 шт.)	Неподражаемые Чикен Макнаггетс – это сочное 100% белое куриное мясо в хрустящей панировке со специями. Только натуральная курочка без искусственных красителей и ароматизаторов и без консервантов	69	https://eda.yandex/images/1380157/afa725df37be4beefd0b0f085c674f0e-450x300.jpeg
Сырные Палочки (3 шт.)	Вкуснейшие сырные палочки в хрустящей панировке.	99	https://eda.yandex/images/3529908/bb1827fae00d5172b9d90310aed0316e-450x300.jpeg
Большой Снэк Бокс с Крыльями	Пикантные Куриные крылышки в хрустящей панировке – 4 шт. Неподражаемые Чикен МакНаггетс – 4 шт. Сырные палочки – 4 шт. 2 стандартные порции Картофеля фри	409	https://eda.yandex/images/3709189/b02297defa9dbf271c4be748374ebc41-450x300.png
Большой Снэк Бокс со Стрипсами	Сочные и нежные Стрипсы – 4 шт. Неподражаемые Чикен МакНаггетс – 4 шт. Сырные палочки – 4 шт. 2 стандартные порции Картофеля фри	379	https://eda.yandex/images/3550919/f05b7b2e3e2c72ce7d16cac7f717c523-450x300.png
Снэк Бокс с Крыльями	Пикантные Куриные крылышки в хрустящей панировке – 2 шт. Неподражаемые Чикен МакНаггетс – 2 шт. Сочные и нежные Стрипсы – 2 шт. Стандартная порция Картофеля фри	199	https://eda.yandex/images/3808326/2554689af40bf74c3887e0564c473320-450x300.png
Снэк Бокс	Неподражаемые Чикен МакНаггетс – 3 шт. Сочные и нежные Стрипсы – 2 шт. Маленькая порция Картофеля фри	145	https://eda.yandex/images/3454897/64e93867e87b952234c57425dbe2d11b-450x300.png
Наггетс Бокс	Неподражаемые Чикен МакНаггетс – 5 шт. Маленькая порция Картофеля фри	85	https://eda.yandex/images/3735503/3c0592e36bb94a8207a704aa648ed89c-450x300.jpeg
Салфетка влажная		2	https://eda.yandex/images/1387779/a0ebce14f47a9f6bd1735032419afe30-450x300.jpeg
Сырные Палочки 4 Сыра (3 шт.)	Вкуснейшие сырные палочки, обжаренные в хрустящей панировке. Сочетание сыров Моцарелла, Гауда, Чеддер и Пармезан	-1	https://eda.yandex/images/3813301/9781fac47a2bcec234776e42d5377941-450x300.jpeg
Макфлейфор Фрайз Барбекю с  Беконом	Любимый Картофель фри с соусом Барбекю и беконом	149	https://eda.yandex/images/3525661/972be167a6e0d1aad6a2714f4a5ae140-450x300.png
Макфлейфор Фрайз по Деревенски Барбекю с Беконом	Любимый Картофель по-деревенски с соусом Барбекю и беконом	149	https://eda.yandex/images/3550919/74b03975d4366b9b52e778f491aa2fb6-450x300.png
Картофель по-деревенски	Вкусные, обжаренные в растительном фритюре ломтики картофеля со специями.	77	https://eda.yandex/images/1380298/cf9283e5f7eceaf38c9df534614ac629-450x300.jpeg
